"period","gdp","inf","une"
"1998","7.54292377522164","5.39078358524973","13.25"
"1999","-1.1369739468804","1.44913793738238","14.625"
"2000","3.7274115681471","1.09495602700904","16.425"
"2001","6.58119024679465","1.55115811760827","17.3916666666667"
"2002","6.73434856175975","0.346063951701603","13.775"
"2003","10.4950443446461","-1.07458670166608","12.4416666666667"
"2004","6.50731507904688","1.16476005719009","10.8916666666667"
"2005","7.92918538092198","2.67439220940448","8.31666666666667"
"2006","7.44274156596431","3.75426981430445","5.78333333333333"
"2007","11.097284635851","5.80168878237862","4.25"
"2008","2.41290703303818","11.1094253070823","5.81666666666667"
"2009","-14.6865489616899","4.22216688236996","13.8"
"2010","1.58393961947417","1.19849050246812","17.8333333333333"
"2011","6.1165800600329","4.12252908020532","15.4"
"2012","3.8046602449655","3.16696625352986","13.4"
"2013","3.6482170588063","1.17023407931144","11.8"
"2014","3.47269329820405","0.242461484339129","10.7333333333333"
"2015","2.00968872810827","-0.67767559170392","9.14166666666667"
"2016","2.57711613899474","0.678725387190665","7.91666666666667"
"2017","4.25267082220442","3.71687971950526","7.10833333333333"
"2018","5.16519415493943","2.53524945385016","6.19166666666667"
"2019","4.10839447693164","2.24307172393746","6.28333333333333"
"2020","0.129202146380166","1.06947678035034","8.53333333333333"
"2021","6.80312535174164","4.62763522016155","7.15"
"2022","0.604724610479508","18.7806160932334","5.95"
